                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.0735,                0.48827,                 1.0822,                0.98418,                0.98969,                0.99348,                0.75325,                0.98484,                0.33922,                 1.0725,              0.0098524,              0.0098524,              0.0098524
                     82,                 1.0668,                0.48745,                 1.0793,                0.98455,                0.98908,                0.99342,                0.75291,                0.98446,                0.33832,                 1.0718,              0.0098506,              0.0098506,              0.0098506
                     83,                 1.0713,                0.48554,                 1.0801,                0.98459,                0.98916,                0.99336,                0.75254,                0.98463,                0.33842,                 1.0716,              0.0098487,              0.0098487,              0.0098487
                     84,                 1.0629,                0.48129,                 1.0802,                0.98484,                0.98964,                0.99336,                0.75298,                 0.9846,                 0.3379,                 1.0712,              0.0098468,              0.0098468,              0.0098468
                     85,                 1.0619,                0.48304,                 1.0788,                0.98456,                0.98989,                0.99333,                0.75299,                0.98465,                0.33781,                 1.0712,               0.009845,               0.009845,               0.009845
                     86,                 1.0681,                0.48394,                 1.0842,                0.98454,                0.99014,                0.99333,                0.75273,                0.98452,                0.33798,                 1.0712,              0.0098431,              0.0098431,              0.0098431
                     87,                 1.0634,                 0.4827,                 1.0812,                0.98429,                0.99027,                0.99335,                 0.7526,                 0.9848,                0.33759,                 1.0711,              0.0098412,              0.0098412,              0.0098412
                     88,                 1.0589,                0.48238,                 1.0774,                0.98417,                0.99037,                0.99338,                0.75245,                0.98466,                0.33738,                 1.0709,              0.0098394,              0.0098394,              0.0098394
                     89,                 1.0672,                0.48098,                 1.0855,                0.98475,                0.99037,                0.99335,                0.75273,                0.98431,                0.33731,                 1.0708,              0.0098375,              0.0098375,              0.0098375
                     90,                 1.0699,                0.48353,                 1.0846,                0.98494,                0.99048,                0.99335,                 0.7526,                0.98398,                0.33733,                 1.0704,              0.0098356,              0.0098356,              0.0098356
                     91,                 1.0609,                0.48262,                 1.0783,                0.98427,                0.99046,                0.99333,                0.75236,                0.98395,                0.33718,                 1.0703,              0.0098338,              0.0098338,              0.0098338
                     92,                 1.0654,                0.48451,                 1.0857,                0.98463,                0.98974,                0.99331,                0.75249,                0.98417,                0.33707,                 1.0707,              0.0098319,              0.0098319,              0.0098319
                     93,                 1.0613,                0.48027,                 1.0821,                0.98479,                0.98962,                0.99332,                0.75227,                0.98422,                0.33711,                 1.0711,                0.00983,                0.00983,                0.00983
                     94,                 1.0638,                0.48073,                 1.0838,                0.98498,                0.98985,                 0.9933,                0.75255,                0.98396,                0.33724,                 1.0711,              0.0098282,              0.0098282,              0.0098282
                     95,                 1.0624,                0.48552,                 1.0851,                0.98508,                0.99001,                0.99349,                0.75245,                0.98417,                 0.3375,                 1.0714,              0.0098263,              0.0098263,              0.0098263
